ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  20  40  60  80 150],[0.14454545 0.22272727 0.27       0.23818182 0.12454545],1.0,1.0,4
1,equal-width,[  0.  75. 150.],[0.82090909 0.17909091],0.337155034508542,0.479348573210717,2
2,equal-width-data,[  0.  75. 145.],[0.82090909 0.17909091],0.337155034508542,0.48525823047661376,1
3,equal-frequency,[  0.  51. 145.],[0.49272727 0.50727273],0.30226083703591744,0.4967992876050151,1
4,kbins,[  0.  75. 145.],[0.82090909 0.17909091],0.337155034508542,0.48525823047661376,1
5,kbins-quantile,[  0.  51. 145.],[0.49272727 0.50727273],0.30226083703591744,0.4967992876050151,1
6,decision-tree,[  0.  107.5 145. ],[0.90909091 0.09090909],0.1596288632305216,0.46025949289269474,1
7,kmeans,[  0.          44.47016828 145.        ],[0.42545455 0.57454545],0.2734552875404952,0.498852037784665,1
8,random-forest,[  0.   34.5 107.  145. ],[0.295      0.61409091 0.09090909],0.5068140807190973,0.5179537863267833,1
9,equal-width,[  0.  50. 100. 150.],[0.48272727 0.42636364 0.09090909],0.5945286309415005,0.5139805866501108,2
10,equal-width-data,[  0.     51.667  98.333 145.   ],[0.505      0.40409091 0.09090909],0.6022826423911146,0.5196909699992629,1
11,equal-frequency,[  0.  37.  61. 145.],[0.32636364 0.33636364 0.33727273],0.5904883022433389,0.54198703023868,1
12,kbins,[  0.          51.66666667  98.33333333 145.        ],[0.505      0.40409091 0.09090909],0.6022826423911146,0.5196908646623984,1
13,kbins-quantile,[  0.  37.  61. 145.],[0.32636364 0.33636364 0.33727273],0.5904883022433389,0.54198703023868,1
14,decision-tree,[  0.   34.5 107.5 145. ],[0.295      0.61409091 0.09090909],0.5068140807190973,0.5175569110819143,1
15,kmeans,[  0.          24.70723684  62.67463235 145.        ],[0.20727273 0.47863636 0.31409091],0.5523904819259042,0.543192231043637,1
16,random-forest,[  0.          34.5         82.83333333 107.16666667 145.        ],[0.295      0.59272727 0.02136364 0.09090909],0.7970072259099803,0.5799772065686699,1
17,equal-width,[  0.   37.5  75.  112.5 150. ],[0.34045455 0.48045455 0.08818182 0.09090909],0.8147064407730743,0.5753085117498793,1
18,equal-width-data,[  0.  40.  75. 110. 145.],[0.36727273 0.45363636 0.08818182 0.09090909],0.818605945283579,0.5809583870846738,2
19,equal-frequency,[  0.  28.  51.  68. 145.],[0.24545455 0.24727273 0.25       0.25727273],0.7945336495523148,0.6081658850038083,1
20,kbins,[  0.  40.  75. 110. 145.],[0.36727273 0.45363636 0.08818182 0.09090909],0.818605945283579,0.5809583870846738,2
21,kbins-quantile,[  0.  28.  51.  68. 145.],[0.24545455 0.24727273 0.25       0.25727273],0.7945336495523148,0.6081658850038083,1
22,decision-tree,[  0.   34.5  60.5 107.5 145. ],[0.295      0.36772727 0.24636364 0.09090909],0.8072851977054788,0.5894542074980947,1
23,kmeans,[  0.          18.60350318  45.80583942  69.37845706 145.        ],[0.13681818 0.30409091 0.32318182 0.23590909],0.7632961885326268,0.6090776512101752,1
24,random-forest,[  0.    34.5   59.    60.5   93.75 145.  ],[0.295      0.32363636 0.04409091 0.24227273 0.095     ],0.8934488584202033,0.9331317526441225,1
25,equal-width,[  0.  30.  60.  90. 120. 150.],[0.26727273 0.37       0.26272727 0.00909091 0.09090909],0.9293791993619023,0.8693256959230398,2
26,equal-width-data,[  0.  33.  61.  89. 117. 145.],[0.28772727 0.375      0.23545455 0.01090909 0.09090909],0.9090521511320508,0.8727462164185757,1
27,equal-frequency,[  0.  24.  42.  58.  73. 145.],[0.19590909 0.20090909 0.2        0.20227273 0.20090909],0.9549350465059395,0.9763820278381922,1
28,kbins,[  0.  33.  61.  89. 117. 145.],[0.28772727 0.375      0.23545455 0.01090909 0.09090909],0.9090521511320508,0.8727462164185757,1
29,kbins-quantile,[  0.  24.  42.  58.  73. 145.],[0.19590909 0.20090909 0.2        0.20227273 0.20090909],0.9549350465059395,0.9763820278381922,1
30,decision-tree,[  0.   34.5  60.5  80.5 107.5 145. ],[0.295      0.36772727 0.22181818 0.02454545 0.09090909],0.9728842917063169,0.8978843506889238,1
31,kmeans,"[  0.          17.25178571  39.13429752  57.63864043  75.31738035
 145.        ]",[0.11909091 0.24818182 0.22954545 0.235      0.16818182],0.951635802499541,0.9813962943713133,1
32,random-forest,[  0.   34.   48.9  59.7  76.5  91.4 145. ],[0.29181818 0.18272727 0.16272727 0.20409091 0.06136364 0.09727273],0.8864147929512354,0.6246931007992377,1
33,equal-width,[  0.  25.  50.  75. 100. 125. 150.],[0.20727273 0.27545455 0.33818182 0.08818182 0.01818182 0.07272727],0.9670923460505488,0.6313610175317415,2
34,equal-width-data,[  0.     28.333  51.667  75.     98.333 121.667 145.   ],[0.25454545 0.25045455 0.31590909 0.08818182 0.00863636 0.08227273],0.9852056746149138,0.6413836181668446,1
35,equal-frequency,[  0.  21.  37.  51.  61.  76. 145.],[0.15454545 0.17181818 0.16636364 0.17       0.16909091 0.16818182],0.9153822209003836,0.6083184415132277,1
36,kbins,"[  0.          28.33333333  51.66666667  75.          98.33333333
 121.66666667 145.        ]",[0.25454545 0.25045455 0.31590909 0.08818182 0.00863636 0.08227273],0.9852056746149138,0.6413833889096177,1
37,kbins-quantile,[  0.  21.  37.  51.  61.  76. 145.],[0.15454545 0.17181818 0.16636364 0.17       0.16909091 0.16818182],0.9153822209003836,0.6083184415132277,1
38,decision-tree,[  0.   30.5  34.5  60.5  80.5 107.5 145. ],[0.28090909 0.01409091 0.36772727 0.22181818 0.02454545 0.09090909],0.8859855886479934,0.6383975740141763,1
39,kmeans,"[  0.          10.95419847  24.18598383  41.12121212  57.92606285
  75.31738035 145.        ]",[0.05545455 0.15181818 0.18954545 0.2        0.235      0.16818182],0.9689650771739755,0.6023686592639124,1
40,random-forest,"[  0.          14.5         28.83333333  37.5         54.5
  59.16666667  73.16666667 145.        ]","[0.08818182 0.16636364 0.08590909 0.19636364 0.10045455 0.17272727
 0.19      ]",0.894580079279249,0.5477051675739093,1
41,equal-width,"[  0.          21.42857143  42.85714286  64.28571429  85.71428571
 107.14285714 128.57142857 150.        ]","[0.17227273 0.23       0.30454545 0.18454545 0.01772727 0.02818182
 0.06272727]",0.7997594560216852,0.5173382739222019,1
42,equal-width-data,[  0.  25.  45.  65.  85. 105. 125. 145.],"[0.20727273 0.21818182 0.28136364 0.18227273 0.02       0.01818182
 0.07272727]",0.8078850352587071,0.5302081570876072,1
43,equal-frequency,[  0.  19.  32.  45.  56.  65.  78. 145.],"[0.13681818 0.14863636 0.14       0.13136364 0.15       0.14590909
 0.14727273]",0.8099955652530431,0.5523888458869965,1
44,kbins,[  0.  25.  45.  65.  85. 105. 125. 145.],"[0.20727273 0.21818182 0.28136364 0.18227273 0.02       0.01818182
 0.07272727]",0.8078850352587071,0.5302081570876072,1
45,kbins-quantile,[  0.  19.  32.  45.  56.  65.  78. 145.],"[0.13681818 0.14863636 0.14       0.13136364 0.15       0.14590909
 0.14727273]",0.8099955652530431,0.5523888458869965,1
