ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  30  50  70  85 100],[0.09090909 0.06227273 0.24       0.26090909 0.34590909],1.0,1.0,4
1,equal-width,[  0.  50. 100.],[0.15318182 0.84681818],0.33271937945586216,0.5226700928173155,3
2,equal-width-data,[  0.    57.12 100.  ],[0.22818182 0.77181818],0.41648898605671225,0.5194811148019521,1
3,equal-frequency,[  0.     80.473 100.   ],[0.50136364 0.49863636],0.4799525768339694,0.5026105248574337,1
4,kbins,[ 0.         57.11995791 99.98187601],[0.22818182 0.76863636],0.4292242668323707,0.5194983038735059,1
5,kbins-quantile,[ 0.         80.47314567 99.98187601],[0.50136364 0.49545455],0.4867742023529703,0.502626975405498,1
6,decision-tree,[  0.          27.68508244 100.        ],[0.09090909 0.90909091],0.2242381034227814,0.5264487661368373,1
7,kmeans,[  0.          44.57533843 100.        ],[0.11545455 0.88454545],0.30967237793025615,0.5244622235881482,1
8,random-forest,[  0.          27.66326904  70.98668289 100.        ],[0.09090909 0.30818182 0.60090909],0.6293581098212611,0.5888047470157267,1
9,equal-width,[  0.          33.33333333  66.66666667 100.        ],[0.09409091 0.25409091 0.65181818],0.6223056336193306,0.5905467128339303,3
10,equal-width-data,[  0.     42.833  71.407 100.   ],[0.11045455 0.29272727 0.59681818],0.6752013960949323,0.5868493460069253,1
11,equal-frequency,[  0.     65.443  84.968 100.   ],[0.335      0.31909091 0.34590909],0.7421445167809144,0.5668812065273756,1
12,kbins,[ 0.         42.83265188 71.40726394 99.98187601],[0.11045455 0.29272727 0.59363636],0.6845545056435642,0.5868612985077499,1
13,kbins-quantile,[ 0.         65.44340921 84.96771717 99.98187601],[0.335      0.31909091 0.34272727],0.7446210671663698,0.5668925358423275,1
14,decision-tree,[  0.          27.68508244  70.81499481 100.        ],[0.09090909 0.30818182 0.60090909],0.6293581098212611,0.5888853328495316,1
15,kmeans,[  0.          21.58051544  59.05551215 100.        ],[0.06954545 0.17227273 0.75818182],0.5277497750360969,0.5920615580571991,1
16,random-forest,[  0.          27.6577673   70.46408463  73.63947296 100.        ],[0.09090909 0.30818182 0.01454545 0.58636364],0.7556895921279425,0.6884259063004858,1
17,equal-width,[  0.  25.  50.  75. 100.],[0.08545455 0.06772727 0.26636364 0.58045455],0.7980792190466475,0.6941401168974233,4
18,equal-width-data,[  0.     35.689  57.12   78.551 100.   ],[0.09863636 0.12954545 0.23181818 0.54      ],0.8776531796126837,0.6925638471444229,1
19,equal-frequency,[  0.     60.262  80.473  89.949 100.   ],[0.25545455 0.24590909 0.23818182 0.26045455],0.9262656440691579,0.663086226860085,1
20,kbins,[ 0.         35.68899886 57.11995791 78.55091696 99.98187601],[0.09863636 0.12954545 0.23181818 0.53681818],0.8854907723799439,0.6925719235473774,1
