ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0.   5.5  6.5  7.5  8.5 10. ],[0.05318182 0.49363636 0.36909091 0.06863636 0.01545455],1.0,1.0,4
1,equal-width,[ 0.  5. 10.],[0.00590909 0.99409091],0.0,0.501851877411498,2
2,equal-width-data,[ 0.    6.72 10.  ],[0.54681818 0.45318182],0.37728255096370067,0.5005736281226227,1
3,equal-frequency,[ 0.     6.425 10.   ],[0.54681818 0.45318182],0.37728255096370067,0.501226355295986,1
4,kbins,[0.         6.71992152 9.93509073],[0.54681818 0.45181818],0.4321471178691013,0.5010380835510955,1
5,kbins-quantile,[0.         6.42504527 9.93509073],[0.54681818 0.45181818],0.4321471178691013,0.5016911347465708,1
6,decision-tree,[ 0.          6.50004077 10.        ],[0.54681818 0.45318182],0.37728255096370067,0.5010772686414386,1
7,kmeans,[ 0.          5.96755281 10.        ],[0.05318182 0.94681818],0.0,0.5018843246274309,1
8,random-forest,[ 0.          5.9821229   6.43686378 10.        ],[0.05318182 0.49363636 0.45318182],0.6828294584420243,0.5710007680681088,1
9,equal-width,[ 0.          3.33333333  6.66666667 10.        ],[0.         0.54681818 0.45318182],0.37728255096370067,0.5656507762362853,1
10,equal-width-data,[ 0.     5.648  7.792 10.   ],[0.05318182 0.86272727 0.08409091],0.3289807348722392,0.5692584893763305,1
11,equal-frequency,[ 0.     6.135  6.739 10.   ],[0.54681818 0.         0.45318182],0.37728255096370067,0.5707321314616091,1
12,kbins,[0.         5.64819845 7.79164459 9.93509073],[0.05318182 0.86272727 0.08272727],0.3571975803547971,0.5696425611858086,1
13,kbins-quantile,[0.         6.13502501 6.73899395 9.93509073],[0.54681818 0.         0.45181818],0.4321471178691013,0.5711164565696432,1
14,decision-tree,[ 0.          5.49996042  6.50004077 10.        ],[0.05318182 0.49363636 0.45318182],0.6828294584420243,0.5712845973957286,1
15,kmeans,[ 0.          5.65615798  6.54627045 10.        ],[0.05318182 0.49363636 0.45318182],0.6828294584420243,0.5712527436249597,1
16,random-forest,[ 0.          5.44930005  6.01266344  6.50027561 10.        ],[0.05318182 0.49363636 0.         0.45318182],0.6828294584420243,0.6735639191984185,1
17,equal-width,[ 0.   2.5  5.   7.5 10. ],[0.         0.00590909 0.91       0.08409091],0.3289807348722392,0.6581402998440413,2
18,equal-width-data,[ 0.     5.112  6.72   8.328 10.   ],[0.05318182 0.49363636 0.43772727 0.01545455],0.8053145036492615,0.6741242683203766,1
19,equal-frequency,[ 0.     5.972  6.425  6.924 10.   ],[0.05318182 0.49363636 0.         0.45318182],0.6828294584420243,0.6746370875703729,1
20,kbins,[0.         5.11233692 6.71992152 8.32750613 9.93509073],[0.05318182 0.49363636 0.43772727 0.01409091],0.8067763943804598,0.6744271541336816,1
