ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[  0  50 100 150 200 300],[0.14727273 0.38909091 0.26909091 0.13318182 0.06136364],1.0,1.0,4
1,equal-width,[  0. 150. 300.],[0.80545455 0.19454545],0.39350946153380983,0.47390433390866504,2
2,equal-width-data,[  0.    159.386 299.   ],[0.82681818 0.17318182],0.37453448570198133,0.471873630741552,1
3,equal-frequency,[  0.     94.868 299.   ],[0.49681818 0.50318182],0.4725178233681768,0.48491275747669904,1
4,kbins,[  0.         159.38569248 298.5601175 ],[0.82681818 0.17272727],0.3757549092146968,0.47210006191522724,1
5,kbins-quantile,[  0.          94.86762427 298.5601175 ],[0.49681818 0.50272727],0.4745156996378389,0.48514487862824407,1
6,decision-tree,[  0.          30.39347744 299.        ],[0.04545455 0.95454545],0.11677142957907383,0.48707823850932075,1
7,kmeans,[  0.        78.119303 299.      ],[0.39454545 0.60545455],0.43584730389559767,0.48653721118862203,1
8,random-forest,[  0.          30.01520061  30.65712547 299.        ],[0.04545455 0.         0.95454545],0.11677142957907383,0.536161545535897,1
9,equal-width,[  0. 100. 200. 300.],[0.53636364 0.40227273 0.06136364],0.6708459583646947,0.5251087337957177,2
10,equal-width-data,[  0.    112.994 205.777 299.   ],[0.68090909 0.26454545 0.05454545],0.6653998516009667,0.5217274319790796,1
11,equal-frequency,[  0.     71.163 110.965 299.   ],[0.33863636 0.32454545 0.33681818],0.7378892216311618,0.5430486383324706,1
12,kbins,[  0.         112.99421748 205.77716749 298.5601175 ],[0.68090909 0.26454545 0.05409091],0.6659390850526417,0.5219144083518976,1
13,kbins-quantile,[  0.          71.16331975 110.9653137  298.5601175 ],[0.33863636 0.32454545 0.33636364],0.7396490868591019,0.5432444060870569,1
14,decision-tree,[  0.          30.39347744  60.07392311 299.        ],[0.04545455 0.17272727 0.78181818],0.38162296959431885,0.5409441384084785,1
15,kmeans,[  0.          55.95873959 109.85875945 299.        ],[0.18954545 0.46       0.35045455],0.689014242961885,0.5437002738093311,1
16,random-forest,[  0.          30.01600933  31.03954538  60.14455732 299.        ],[4.54545455e-02 4.54545455e-04 1.72272727e-01 7.81818182e-01],0.3938629021222646,0.6069490129703246,1
17,equal-width,[  0.  75. 150. 225. 300.],[0.37136364 0.43409091 0.15909091 0.03545455],0.8503832720365735,0.6144623079741249,2
18,equal-width-data,[  0.     89.798 159.386 228.973 299.   ],[0.44454545 0.38227273 0.14136364 0.03181818],0.8387473242963309,0.6102342737096758,1
19,equal-frequency,[  0.     64.552  94.868 124.268 299.   ],[0.24954545 0.24727273 0.25454545 0.24863636],0.9286834335341796,0.6290036759556158,1
20,kbins,[  0.          89.79847998 159.38569248 228.97290499 298.5601175 ],[0.44454545 0.38227273 0.14136364 0.03136364],0.839033222456879,0.6103866994297539,1
21,kbins-quantile,[  0.          64.551686    94.86762427 124.2675078  298.5601175 ],[0.24954545 0.24727273 0.25454545 0.24818182],0.9302619272254089,0.6291637549250676,1
22,decision-tree,[  0.          30.39347744  60.07392311 125.63624573 299.        ],[0.04545455 0.17272727 0.53545455 0.24636364],0.7807440051907433,0.6259366686060222,1
23,kmeans,[  0.          55.12876088 104.96975943 172.74241148 299.        ],[0.18954545 0.39181818 0.27818182 0.14045455],0.8932936069152614,0.629615772031987,1
24,random-forest,"[  0.          30.01520061  59.40423727 100.00603294 124.29232216
 299.        ]",[0.04545455 0.16863636 0.33090909 0.20636364 0.24863636],0.9577872521574159,0.881467537865516,1
25,equal-width,[  0.  60. 120. 180. 240. 300.],[0.21409091 0.51681818 0.14590909 0.09818182 0.025     ],0.9994563137513008,0.9359656747280156,2
26,equal-width-data,[  0.     75.881 131.551 187.221 242.89  299.   ],[0.38136364 0.38318182 0.135      0.07909091 0.02136364],0.9990895902959015,0.9182360254344415,1
27,equal-frequency,[  0.     57.196  79.269 105.867 147.821 299.   ],[0.20181818 0.19909091 0.19545455 0.20318182 0.20045455],0.9264910081218959,0.9160773508495862,1
28,kbins,"[  0.          75.88103748 131.55080748 187.22057749 242.89034749
 298.5601175 ]",[0.38136364 0.38318182 0.135      0.07909091 0.02090909],0.9992296011951994,0.9182271544544223,1
29,kbins-quantile,"[  0.          57.19564659  79.26864011 105.8669223  147.82060428
 298.5601175 ]",[0.20181818 0.19909091 0.19545455 0.20318182 0.2       ],0.9251502783725563,0.916068139337735,1
30,decision-tree,"[  0.          30.39347744  60.07392311  99.99549484 125.63624573
 299.        ]",[0.04545455 0.17272727 0.31818182 0.21727273 0.24636364],0.9675246764951217,0.8830318448682127,1
31,kmeans,"[  0.          40.58797572  70.82765146 107.87623866 173.74564308
 299.        ]",[0.07727273 0.24954545 0.29181818 0.24318182 0.13818182],0.9714453351315986,0.931787014630768,1
32,random-forest,"[  0.          30.01600933  60.07052345  89.74906158 100.39570084
 122.86483307 299.        ]",[0.04545455 0.17272727 0.22636364 0.10045455 0.2        0.255     ],0.9227659252668239,0.5683453426678983,1
