ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
0,gold-standard,[ 0 15 20 27 35 45],[0.01772727 0.09454545 0.47045455 0.37090909 0.04636364],1.0,1.0,4
1,equal-width,[ 0.  22.5 45. ],[0.23545455 0.76454545],0.6667080698365134,0.478126556224689,1
2,equal-width-data,[ 0.    26.251 44.   ],[0.58272727 0.41727273],0.7372725215650229,0.4769333309418655,1
3,equal-frequency,[ 0.    25.599 44.   ],[0.48909091 0.51090909],0.7366423107269542,0.47772979089780054,1
4,kbins,[ 0.         26.2505839  43.67549305],[0.58272727 0.41681818],0.7441819346485004,0.47779884783334503,1
5,kbins-quantile,[ 0.         25.5986932  43.67549305],[0.48909091 0.51045455],0.7440604449945343,0.478596469637547,1
6,decision-tree,[ 0.         26.99459553 44.        ],[0.58272727 0.41727273],0.7372725215650229,0.47596858877086057,1
7,kmeans,[ 0.         21.97619028 44.        ],[0.19045455 0.80954545],0.6143471631661308,0.4813044141901356,1
8,random-forest,[ 0.         26.82771587 26.99615383 44.        ],[0.58272727 0.         0.41727273],0.7372725215650229,0.5332446739575956,1
9,equal-width,[ 0. 15. 30. 45.],[0.01772727 0.81090909 0.17136364],0.7596308455442108,0.5366275957475604,2
10,equal-width-data,[ 0.    20.442 32.059 44.   ],[0.15181818 0.77227273 0.07590909],0.8196547581665395,0.5341097978279901,1
11,equal-frequency,[ 0.    23.797 27.553 44.   ],[0.30727273 0.35272727 0.34      ],0.9701501325666917,0.5366632254608372,1
12,kbins,[ 0.         20.44228085 32.05888695 43.67549305],[0.15181818 0.77227273 0.07545455],0.8224385955637236,0.5347956843228445,1
13,kbins-quantile,[ 0.         23.79746068 27.5529736  43.67549305],[0.30727273 0.35272727 0.33954545],0.9765389446349982,0.5373524315732472,1
14,decision-tree,[ 0.         21.03426456 26.99459553 44.        ],[0.19045455 0.39227273 0.41727273],0.9354029445528451,0.5397700690527784,1
15,kmeans,[ 0.         19.8051085  26.61321047 44.        ],[0.11227273 0.47045455 0.41727273],0.8803956925330052,0.5409470000836845,1
16,random-forest,[ 0.         20.74099541 21.03298601 26.98838997 44.        ],[0.15181818 0.03863636 0.39227273 0.41727273],0.9849896240394354,0.6463528701658513,1
17,equal-width,[ 0.   11.25 22.5  33.75 45.  ],[0.00818182 0.22727273 0.70590909 0.05863636],0.9033182372771346,0.6421760627869931,1
18,equal-width-data,[ 0.    17.538 26.251 34.963 44.   ],[0.04363636 0.53909091 0.37090909 0.04636364],0.9742484765199435,0.6402173779541702,1
19,equal-frequency,[ 0.    22.769 25.599 28.562 44.   ],[0.23545455 0.25363636 0.25590909 0.255     ],0.8667220911771412,0.6414197700335238,1
20,kbins,[ 0.         17.53812932 26.2505839  34.96303847 43.67549305],[0.04363636 0.53909091 0.37090909 0.04590909],0.975633846869692,0.6406838502376295,1
21,kbins-quantile,[ 0.         22.76937463 25.5986932  28.56165393 43.67549305],[0.23545455 0.25363636 0.25590909 0.25454545],0.8610247970009772,0.6418873811729311,1
22,decision-tree,[ 0.         21.03426456 26.99459553 29.97842407 44.        ],[0.19045455 0.39227273 0.24590909 0.17136364],0.8643597057312846,0.6414147405500905,1
23,kmeans,[ 0.         18.33704276 24.26328511 28.70615272 44.        ],[0.07181818 0.31909091 0.35409091 0.255     ],0.9133567530979285,0.6465019448178193,1
24,random-forest,[ 0.         20.77264118 21.04226875 26.99264145 29.93513107 44.        ],[0.15181818 0.03863636 0.39227273 0.24590909 0.17136364],0.7847522743235651,0.9402623057142145,1
25,equal-width,[ 0.  9. 18. 27. 36. 45.],[0.         0.04363636 0.53909091 0.385      0.03227273],0.933692736472672,0.9510500200149556,1
26,equal-width-data,[ 0.    15.796 22.766 29.736 36.706 44.   ],[0.02090909 0.21454545 0.59318182 0.14590909 0.02545455],0.9080118444832945,0.9660860247985937,1
27,equal-frequency,[ 0.    21.794 24.631 26.72  29.132 44.   ],[0.19045455 0.20045455 0.19181818 0.24590909 0.17136364],0.7239066920714277,0.9223709081285444,1
28,kbins,[ 0.         15.79563841 22.76560207 29.73556573 36.70552939 43.67549305],[0.02090909 0.21454545 0.59318182 0.14590909 0.025     ],0.9082997612381276,0.9654479198843732,1
29,kbins-quantile,[ 0.         21.79371984 24.6307124  26.71950492 29.13153457 43.67549305],[0.19045455 0.20045455 0.19181818 0.24590909 0.17090909],0.719135373622229,0.9220877627619598,1
30,decision-tree,[ 0.         21.03426456 24.01661491 26.99459553 29.97842407 44.        ],[0.19045455 0.20045455 0.19181818 0.24590909 0.17136364],0.7239066920714277,0.9321549133185726,1
31,kmeans,[ 0.         12.78113301 19.64066812 24.59111774 28.8772877  44.        ],[0.01272727 0.09954545 0.27863636 0.35409091 0.255     ],0.8779083301886205,0.9463002172857257,1
32,random-forest,"[ 0.         15.32754564 21.03759937 23.90563583 26.98850098 29.94832172
 44.        ]",[0.02090909 0.16954545 0.11681818 0.27545455 0.24590909 0.17136364],0.6855525676223073,0.6383889142268921,1
33,equal-width,[ 0.   7.5 15.  22.5 30.  37.5 45. ],[0.         0.01772727 0.21772727 0.59318182 0.15045455 0.02090909],0.918457478945808,0.6408006542875995,2
34,equal-width-data,[ 0.    14.634 20.442 26.251 32.059 37.867 44.   ],[0.01772727 0.13409091 0.43090909 0.34136364 0.055      0.02090909],0.8263118789574538,0.6584246745387546,1
35,equal-frequency,[ 0.    20.937 23.797 25.599 27.553 29.561 44.   ],[0.15181818 0.15545455 0.18181818 0.17090909 0.16863636 0.17136364],0.6360015288691505,0.6348545226224479,1
36,kbins,"[ 0.         14.6339778  20.44228085 26.2505839  32.05888695 37.86719
 43.67549305]",[0.01772727 0.13409091 0.43090909 0.34136364 0.055      0.02045455],0.827094247983884,0.6608674316138905,1
37,kbins-quantile,"[ 0.         20.93651396 23.79746068 25.5986932  27.5529736  29.56103346
 43.67549305]",[0.15181818 0.15545455 0.18181818 0.17090909 0.16863636 0.17090909],0.6312302104199519,0.6371386445043414,1
38,decision-tree,"[ 0.         21.03426456 24.01661491 26.99459553 29.97842407 37.00673103
 44.        ]",[0.19045455 0.20045455 0.19181818 0.24590909 0.15045455 0.02090909],0.6658301728773435,0.6515445850464172,1
39,kmeans,"[ 0.         12.78113301 19.55615278 24.36630003 28.26186652 32.98714884
 44.        ]",[0.01272727 0.09954545 0.27863636 0.35409091 0.17909091 0.07590909],0.7250268283563289,0.6465395272073138,1
40,random-forest,"[ 0.         15.32228041 21.00764147 22.99689515 24.00808907 26.99713484
 29.99153741 44.        ]","[0.02090909 0.16954545 0.045      0.15545455 0.19181818 0.24590909
 0.17136364]",0.6054767734327621,0.5610075503345522,1
41,equal-width,"[ 0.          6.42857143 12.85714286 19.28571429 25.71428571 32.14285714
 38.57142857 45.        ]","[0.         0.01272727 0.09954545 0.37681818 0.435      0.05772727
 0.01818182]",0.8448544179451116,0.5196421675715044,1
42,equal-width-data,[ 0.    13.804 18.783 23.761 28.74  33.718 38.697 44.   ],"[0.01636364 0.05545455 0.23545455 0.43772727 0.19636364 0.04045455
 0.01818182]",0.7139423844420654,0.540469335356474,1
43,equal-frequency,[ 0.    20.245 23.243 24.902 26.359 28.064 29.89  44.   ],"[0.15181818 0.15545455 0.08363636 0.19181818 0.16227273 0.08363636
 0.17136364]",0.5908531168423201,0.5653036509691535,1
